1800 2	19.91116900 18.53352900 1.07433230
2000 2	28.79619700 22.77157800 1.26456747
2200 2	35.30722200 29.79520100 1.18499693
2400 2	55.31606900 41.45662700 1.33431185
2600 2	58.41139800 47.46815800 1.23053854
