1800 2	19.82292600 11.27912100 1.75748854
2000 2	28.93913400 16.83052300 1.71944353
2200 2	35.09424900 21.21575600 1.65415971
2400 2	55.30717600 31.23337900 1.77077145
2600 2	58.75331600 32.74399600 1.79432333
