1800 1	19.93293500 19.94974500 .99915738
2000 1	28.76359200 28.84376200 .99722054
2200 1	35.07444900 35.24484600 .99516533
2400 1	55.23731500 55.40646500 .99694710
2600 1	58.55245200 58.52728600 1.00042998
