1800 4	19.90598900 5.81646300 3.42235289
2000 4	28.89160400 8.52909600 3.38741690
2200 4	35.33418700 10.28102800 3.43683404
2400 4	55.33785400 17.12590800 3.23123620
2600 4	58.57624900 17.08400700 3.42871839
