1800 4	19.84914000 5.91261300 3.35708425
2000 4	28.87935900 8.71043600 3.31548948
2200 4	35.12513100 10.93973600 3.21078415
2400 4	55.32413000 17.11144800 3.23316472
2600 4	58.80726800 18.33711300 3.20700799
