1800 2	19.81261000 11.97012800 1.65517110
2000 2	28.94091600 15.10628300 1.91581979
2200 2	35.50126400 19.29908500 1.83953094
2400 2	55.32517500 31.38473600 1.76280517
2600 2	58.68408700 33.45456800 1.75414272
