1800 3	19.80359200 7.72467700 2.56367897
2000 3	28.65528400 10.91163000 2.62612313
2200 3	35.11058200 13.81898800 2.54074914
2400 3	55.28437900 22.23669900 2.48617742
2600 3	58.98826600 22.75419600 2.59241266
