1800 3	19.82615200 14.62033300 1.35606706
2000 3	28.63778400 18.27736600 1.56684415
2200 3	35.29874000 24.83363200 1.42140867
2400 3	55.21322500 32.35607300 1.70642540
2600 3	66.67239500 38.62249600 1.72625805
