1800 4	19.80345500 13.97401200 1.41716315
2000 4	28.79901200 18.67553000 1.54207200
2200 4	35.27344700 23.90064700 1.47583649
2400 4	55.33462800 29.99447100 1.84482760
2600 4	58.45917600 35.92260300 1.62736469
