1800 1	19.94160600 20.00758400 .99670235
2000 1	28.63777100 28.95044100 .98919981
2200 1	35.26230300 35.14576200 1.00331593
2400 1	55.25263700 55.47843800 .99592993
2600 1	58.97290600 58.80570600 1.00284326
